"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"24","Maryland","24003702602","Anne Arundel County, MD - 24003702602","2018","1.7%","",
"24","Maryland","24003702701","Anne Arundel County, MD - 24003702701","2018","1.4%","",
"24","Maryland","24003702702","Anne Arundel County, MD - 24003702702","2018","1.7%","",
"24","Maryland","24003706101","Anne Arundel County, MD - 24003706101","2018","1.6%","",
"24","Maryland","24003706301","Anne Arundel County, MD - 24003706301","2018","1.6%","",
"24","Maryland","24003706302","Anne Arundel County, MD - 24003706302","2018","1.7%","",
"24","Maryland","24003706401","Anne Arundel County, MD - 24003706401","2018","2.0%","",
"24","Maryland","24003706402","Anne Arundel County, MD - 24003706402","2018","1.9%","",
"24","Maryland","24003706500","Anne Arundel County, MD - 24003706500","2018","1.6%","",
"24","Maryland","24003706600","Anne Arundel County, MD - 24003706600","2018","1.8%","",
"24","Maryland","24003706700","Anne Arundel County, MD - 24003706700","2018","1.0%","",
"24","Maryland","24003707001","Anne Arundel County, MD - 24003707001","2018","2.1%","",
"24","Maryland","24003707002","Anne Arundel County, MD - 24003707002","2018","2.1%","",
"24","Maryland","24003708001","Anne Arundel County, MD - 24003708001","2018","2.1%","",
"24","Maryland","24003708004","Anne Arundel County, MD - 24003708004","2018","3.4%","",
"24","Maryland","24003730100","Anne Arundel County, MD - 24003730100","2018","1.6%","",
"24","Maryland","24003730203","Anne Arundel County, MD - 24003730203","2018","2.4%","",
"24","Maryland","24003730204","Anne Arundel County, MD - 24003730204","2018","2.4%","",
"24","Maryland","24003730300","Anne Arundel County, MD - 24003730300","2018","2.6%","",
"24","Maryland","24003730401","Anne Arundel County, MD - 24003730401","2018","2.3%","",
"24","Maryland","24003730402","Anne Arundel County, MD - 24003730402","2018","2.5%","",
"24","Maryland","24003730502","Anne Arundel County, MD - 24003730502","2018","2.1%","",
"24","Maryland","24003730504","Anne Arundel County, MD - 24003730504","2018","1.9%","",
"24","Maryland","24003730505","Anne Arundel County, MD - 24003730505","2018","2.3%","",
"24","Maryland","24003730506","Anne Arundel County, MD - 24003730506","2018","2.3%","",
"24","Maryland","24003730601","Anne Arundel County, MD - 24003730601","2018","1.5%","",
"24","Maryland","24003730603","Anne Arundel County, MD - 24003730603","2018","1.8%","",
"24","Maryland","24003730604","Anne Arundel County, MD - 24003730604","2018","1.5%","",
"24","Maryland","24003730700","Anne Arundel County, MD - 24003730700","2018","1.7%","",
"24","Maryland","24003730800","Anne Arundel County, MD - 24003730800","2018","1.6%","",
"24","Maryland","24003730901","Anne Arundel County, MD - 24003730901","2018","1.6%","",
"24","Maryland","24003730902","Anne Arundel County, MD - 24003730902","2018","1.4%","",
"24","Maryland","24003731002","Anne Arundel County, MD - 24003731002","2018","1.6%","",
"24","Maryland","24003731003","Anne Arundel County, MD - 24003731003","2018","1.8%","",
"24","Maryland","24003731004","Anne Arundel County, MD - 24003731004","2018","1.7%","",
"24","Maryland","24003731102","Anne Arundel County, MD - 24003731102","2018","1.5%","",
"24","Maryland","24003731103","Anne Arundel County, MD - 24003731103","2018","1.7%","",
"24","Maryland","24003731104","Anne Arundel County, MD - 24003731104","2018","1.7%","",
"24","Maryland","24003731105","Anne Arundel County, MD - 24003731105","2018","1.9%","",
"24","Maryland","24003731201","Anne Arundel County, MD - 24003731201","2018","1.7%","",
"24","Maryland","24003731202","Anne Arundel County, MD - 24003731202","2018","1.9%","",
"24","Maryland","24003731203","Anne Arundel County, MD - 24003731203","2018","1.8%","",
"24","Maryland","24003731204","Anne Arundel County, MD - 24003731204","2018","1.9%","",
"24","Maryland","24003731303","Anne Arundel County, MD - 24003731303","2018","2.1%","",
"24","Maryland","24003731306","Anne Arundel County, MD - 24003731306","2018","2.0%","",
"24","Maryland","24003731307","Anne Arundel County, MD - 24003731307","2018","1.9%","",
"24","Maryland","24003731308","Anne Arundel County, MD - 24003731308","2018","2.5%","",
"24","Maryland","24003731309","Anne Arundel County, MD - 24003731309","2018","2.1%","",
"24","Maryland","24003731310","Anne Arundel County, MD - 24003731310","2018","2.2%","",
"24","Maryland","24003731311","Anne Arundel County, MD - 24003731311","2018","2.2%","",
"24","Maryland","24003740102","Anne Arundel County, MD - 24003740102","2018","1.7%","",
"24","Maryland","24003740103","Anne Arundel County, MD - 24003740103","2018","1.9%","",
"24","Maryland","24003740104","Anne Arundel County, MD - 24003740104","2018","1.8%","",
"24","Maryland","24003740105","Anne Arundel County, MD - 24003740105","2018","2.4%","",
"24","Maryland","24003740201","Anne Arundel County, MD - 24003740201","2018","2.1%","",
"24","Maryland","24003740203","Anne Arundel County, MD - 24003740203","2018","1.8%","",
"24","Maryland","24003740303","Anne Arundel County, MD - 24003740303","2018","2.1%","",
"24","Maryland","24003740304","Anne Arundel County, MD - 24003740304","2018","1.6%","",
"24","Maryland","24003740305","Anne Arundel County, MD - 24003740305","2018","1.7%","",
"24","Maryland","24003740400","Anne Arundel County, MD - 24003740400","2018","No Data","",
"24","Maryland","24003740500","Anne Arundel County, MD - 24003740500","2018","1.5%","",
"24","Maryland","24003740601","Anne Arundel County, MD - 24003740601","2018","1.8%","",
"24","Maryland","24003740602","Anne Arundel County, MD - 24003740602","2018","1.9%","",
"24","Maryland","24003740603","Anne Arundel County, MD - 24003740603","2018","1.4%","",
"24","Maryland","24003740701","Anne Arundel County, MD - 24003740701","2018","1.6%","",
"24","Maryland","24003740702","Anne Arundel County, MD - 24003740702","2018","1.7%","",
"24","Maryland","24003740800","Anne Arundel County, MD - 24003740800","2018","1.8%","",
"24","Maryland","24003740900","Anne Arundel County, MD - 24003740900","2018","2.1%","",
"24","Maryland","24003741000","Anne Arundel County, MD - 24003741000","2018","1.9%","",
"24","Maryland","24003750101","Anne Arundel County, MD - 24003750101","2018","3.4%","",
"24","Maryland","24003750102","Anne Arundel County, MD - 24003750102","2018","2.9%","",
"24","Maryland","24003750201","Anne Arundel County, MD - 24003750201","2018","3.2%","",
"24","Maryland","24003750202","Anne Arundel County, MD - 24003750202","2018","2.5%","",
"24","Maryland","24003750203","Anne Arundel County, MD - 24003750203","2018","3.0%","",
"24","Maryland","24003750300","Anne Arundel County, MD - 24003750300","2018","2.4%","",
"24","Maryland","24003750400","Anne Arundel County, MD - 24003750400","2018","2.3%","",
"24","Maryland","24003750801","Anne Arundel County, MD - 24003750801","2018","2.1%","",
"24","Maryland","24003750803","Anne Arundel County, MD - 24003750803","2018","2.9%","",
"24","Maryland","24003750804","Anne Arundel County, MD - 24003750804","2018","2.8%","",
"24","Maryland","24003750900","Anne Arundel County, MD - 24003750900","2018","2.6%","",
"24","Maryland","24003751000","Anne Arundel County, MD - 24003751000","2018","3.1%","",
"24","Maryland","24003751102","Anne Arundel County, MD - 24003751102","2018","2.3%","",
"24","Maryland","24003751103","Anne Arundel County, MD - 24003751103","2018","2.6%","",
"24","Maryland","24003751200","Anne Arundel County, MD - 24003751200","2018","2.4%","",
"24","Maryland","24003751400","Anne Arundel County, MD - 24003751400","2018","2.1%","",
"24","Maryland","24003751500","Anne Arundel County, MD - 24003751500","2018","2.4%","",
"24","Maryland","24003751600","Anne Arundel County, MD - 24003751600","2018","1.9%","",
"24","Maryland","24003751700","Anne Arundel County, MD - 24003751700","2018","1.9%","",
"24","Maryland","24003980000","Anne Arundel County, MD - 24003980000","2018","No Data","",
"24","Maryland","24003990000","Anne Arundel County, MD - 24003990000","2018","No Data","",
"24","Maryland","24005400100","Baltimore County, MD - 24005400100","2018","1.6%","",
"24","Maryland","24005400200","Baltimore County, MD - 24005400200","2018","2.3%","",
"24","Maryland","24005400400","Baltimore County, MD - 24005400400","2018","1.8%","",
"24","Maryland","24005400500","Baltimore County, MD - 24005400500","2018","1.7%","",
"24","Maryland","24005400600","Baltimore County, MD - 24005400600","2018","2.1%","",
"24","Maryland","24005400701","Baltimore County, MD - 24005400701","2018","2.1%","",
"24","Maryland","24005400702","Baltimore County, MD - 24005400702","2018","2.3%","",
"24","Maryland","24005400800","Baltimore County, MD - 24005400800","2018","2.5%","",
"24","Maryland","24005400900","Baltimore County, MD - 24005400900","2018","2.2%","",
"24","Maryland","24005401000","Baltimore County, MD - 24005401000","2018","1.9%","",
"24","Maryland","24005401101","Baltimore County, MD - 24005401101","2018","2.7%","",
"24","Maryland","24005401102","Baltimore County, MD - 24005401102","2018","2.6%","",
"24","Maryland","24005401200","Baltimore County, MD - 24005401200","2018","2.5%","",
"24","Maryland","24005401301","Baltimore County, MD - 24005401301","2018","3.0%","",
"24","Maryland","24005401302","Baltimore County, MD - 24005401302","2018","2.7%","",
"24","Maryland","24005401400","Baltimore County, MD - 24005401400","2018","1.8%","",
"24","Maryland","24005401503","Baltimore County, MD - 24005401503","2018","1.8%","",
"24","Maryland","24005401504","Baltimore County, MD - 24005401504","2018","2.0%","",
"24","Maryland","24005401505","Baltimore County, MD - 24005401505","2018","2.4%","",
"24","Maryland","24005401506","Baltimore County, MD - 24005401506","2018","1.8%","",
"24","Maryland","24005401507","Baltimore County, MD - 24005401507","2018","2.5%","",
"24","Maryland","24005402201","Baltimore County, MD - 24005402201","2018","2.2%","",
"24","Maryland","24005402202","Baltimore County, MD - 24005402202","2018","2.4%","",
"24","Maryland","24005402302","Baltimore County, MD - 24005402302","2018","2.2%","",
"24","Maryland","24005402303","Baltimore County, MD - 24005402303","2018","2.3%","",
"24","Maryland","24005402304","Baltimore County, MD - 24005402304","2018","2.7%","",
"24","Maryland","24005402305","Baltimore County, MD - 24005402305","2018","2.0%","",
"24","Maryland","24005402306","Baltimore County, MD - 24005402306","2018","2.2%","",
"24","Maryland","24005402307","Baltimore County, MD - 24005402307","2018","2.4%","",
"24","Maryland","24005402403","Baltimore County, MD - 24005402403","2018","2.7%","",
"24","Maryland","24005402404","Baltimore County, MD - 24005402404","2018","2.7%","",
"24","Maryland","24005402405","Baltimore County, MD - 24005402405","2018","2.6%","",
"24","Maryland","24005402406","Baltimore County, MD - 24005402406","2018","2.1%","",
"24","Maryland","24005402407","Baltimore County, MD - 24005402407","2018","2.6%","",
"24","Maryland","24005402503","Baltimore County, MD - 24005402503","2018","2.4%","",
"24","Maryland","24005402504","Baltimore County, MD - 24005402504","2018","2.1%","",
"24","Maryland","24005402505","Baltimore County, MD - 24005402505","2018","2.1%","",
"24","Maryland","24005402506","Baltimore County, MD - 24005402506","2018","2.1%","",
"24","Maryland","24005402509","Baltimore County, MD - 24005402509","2018","1.5%","",
"24","Maryland","24005402602","Baltimore County, MD - 24005402602","2018","2.5%","",
"24","Maryland","24005402603","Baltimore County, MD - 24005402603","2018","1.8%","",
"24","Maryland","24005402604","Baltimore County, MD - 24005402604","2018","2.3%","",
"24","Maryland","24005403100","Baltimore County, MD - 24005403100","2018","2.6%","",
"24","Maryland","24005403201","Baltimore County, MD - 24005403201","2018","2.6%","",
"24","Maryland","24005403202","Baltimore County, MD - 24005403202","2018","2.7%","",
"24","Maryland","24005403300","Baltimore County, MD - 24005403300","2018","2.4%","",
"24","Maryland","24005403401","Baltimore County, MD - 24005403401","2018","1.7%","",
"24","Maryland","24005403402","Baltimore County, MD - 24005403402","2018","2.0%","",
"24","Maryland","24005403500","Baltimore County, MD - 24005403500","2018","1.7%","",
"24","Maryland","24005403601","Baltimore County, MD - 24005403601","2018","1.6%","",
"24","Maryland","24005403602","Baltimore County, MD - 24005403602","2018","1.4%","",
"24","Maryland","24005403701","Baltimore County, MD - 24005403701","2018","1.9%","",
"24","Maryland","24005403702","Baltimore County, MD - 24005403702","2018","1.9%","",
"24","Maryland","24005403801","Baltimore County, MD - 24005403801","2018","1.5%","",
"24","Maryland","24005403802","Baltimore County, MD - 24005403802","2018","1.6%","",
"24","Maryland","24005403803","Baltimore County, MD - 24005403803","2018","1.4%","",
"24","Maryland","24005404101","Baltimore County, MD - 24005404101","2018","1.9%","",
"24","Maryland","24005404102","Baltimore County, MD - 24005404102","2018","2.2%","",
"24","Maryland","24005404201","Baltimore County, MD - 24005404201","2018","2.1%","",
"24","Maryland","24005404202","Baltimore County, MD - 24005404202","2018","2.4%","",
"24","Maryland","24005404402","Baltimore County, MD - 24005404402","2018","1.9%","",
"24","Maryland","24005404403","Baltimore County, MD - 24005404403","2018","2.4%","",
"24","Maryland","24005404404","Baltimore County, MD - 24005404404","2018","1.9%","",
"24","Maryland","24005404501","Baltimore County, MD - 24005404501","2018","2.4%","",
"24","Maryland","24005404502","Baltimore County, MD - 24005404502","2018","2.8%","",
"24","Maryland","24005404600","Baltimore County, MD - 24005404600","2018","2.1%","",
"24","Maryland","24005404800","Baltimore County, MD - 24005404800","2018","1.8%","",
"24","Maryland","24005404900","Baltimore County, MD - 24005404900","2018","1.5%","",
"24","Maryland","24005405000","Baltimore County, MD - 24005405000","2018","2.2%","",
"24","Maryland","24005406000","Baltimore County, MD - 24005406000","2018","2.0%","",
"24","Maryland","24005407001","Baltimore County, MD - 24005407001","2018","2.2%","",
"24","Maryland","24005407002","Baltimore County, MD - 24005407002","2018","2.1%","",
"24","Maryland","24005408100","Baltimore County, MD - 24005408100","2018","1.8%","",
"24","Maryland","24005408200","Baltimore County, MD - 24005408200","2018","1.8%","",
"24","Maryland","24005408302","Baltimore County, MD - 24005408302","2018","1.7%","",
"24","Maryland","24005408303","Baltimore County, MD - 24005408303","2018","1.7%","",
"24","Maryland","24005408304","Baltimore County, MD - 24005408304","2018","1.7%","",
"24","Maryland","24005408400","Baltimore County, MD - 24005408400","2018","1.3%","",
"24","Maryland","24005408502","Baltimore County, MD - 24005408502","2018","1.7%","",
"24","Maryland","24005408503","Baltimore County, MD - 24005408503","2018","1.8%","",
"24","Maryland","24005408505","Baltimore County, MD - 24005408505","2018","1.6%","",
"24","Maryland","24005408506","Baltimore County, MD - 24005408506","2018","1.9%","",
"24","Maryland","24005408507","Baltimore County, MD - 24005408507","2018","1.7%","",
"24","Maryland","24005408601","Baltimore County, MD - 24005408601","2018","1.9%","",
"24","Maryland","24005408602","Baltimore County, MD - 24005408602","2018","1.7%","",
"24","Maryland","24005408702","Baltimore County, MD - 24005408702","2018","1.6%","",
"24","Maryland","24005408703","Baltimore County, MD - 24005408703","2018","1.4%","",
"24","Maryland","24005408704","Baltimore County, MD - 24005408704","2018","1.5%","",
"24","Maryland","24005408800","Baltimore County, MD - 24005408800","2018","1.8%","",
"24","Maryland","24005408900","Baltimore County, MD - 24005408900","2018","1.5%","",
"24","Maryland","24005410100","Baltimore County, MD - 24005410100","2018","1.9%","",
"24","Maryland","24005410200","Baltimore County, MD - 24005410200","2018","1.7%","",
"24","Maryland","24005411101","Baltimore County, MD - 24005411101","2018","2.0%","",
"24","Maryland","24005411102","Baltimore County, MD - 24005411102","2018","2.1%","",
"24","Maryland","24005411201","Baltimore County, MD - 24005411201","2018","2.0%","",
"24","Maryland","24005411202","Baltimore County, MD - 24005411202","2018","1.9%","",
"24","Maryland","24005411302","Baltimore County, MD - 24005411302","2018","2.2%","",
"24","Maryland","24005411303","Baltimore County, MD - 24005411303","2018","2.0%","",
"24","Maryland","24005411306","Baltimore County, MD - 24005411306","2018","1.8%","",
"24","Maryland","24005411307","Baltimore County, MD - 24005411307","2018","1.9%","",
"24","Maryland","24005411308","Baltimore County, MD - 24005411308","2018","2.0%","",
"24","Maryland","24005411309","Baltimore County, MD - 24005411309","2018","1.7%","",
"24","Maryland","24005411404","Baltimore County, MD - 24005411404","2018","2.0%","",
"24","Maryland","24005411406","Baltimore County, MD - 24005411406","2018","2.0%","",
"24","Maryland","24005411407","Baltimore County, MD - 24005411407","2018","1.5%","",
"24","Maryland","24005411408","Baltimore County, MD - 24005411408","2018","2.1%","",
"24","Maryland","24005411409","Baltimore County, MD - 24005411409","2018","1.8%","",
"24","Maryland","24005411410","Baltimore County, MD - 24005411410","2018","2.0%","",
"24","Maryland","24005420100","Baltimore County, MD - 24005420100","2018","3.2%","",
"24","Maryland","24005420200","Baltimore County, MD - 24005420200","2018","2.7%","",
"24","Maryland","24005420301","Baltimore County, MD - 24005420301","2018","2.9%","",
"24","Maryland","24005420302","Baltimore County, MD - 24005420302","2018","2.7%","",
"24","Maryland","24005420303","Baltimore County, MD - 24005420303","2018","2.8%","",
"24","Maryland","24005420401","Baltimore County, MD - 24005420401","2018","3.6%","",
"24","Maryland","24005420402","Baltimore County, MD - 24005420402","2018","2.9%","",
"24","Maryland","24005420500","Baltimore County, MD - 24005420500","2018","3.0%","",
"24","Maryland","24005420600","Baltimore County, MD - 24005420600","2018","3.3%","",
"24","Maryland","24005420701","Baltimore County, MD - 24005420701","2018","3.1%","",
"24","Maryland","24005420702","Baltimore County, MD - 24005420702","2018","3.9%","",
"24","Maryland","24005420800","Baltimore County, MD - 24005420800","2018","3.6%","",
"24","Maryland","24005420900","Baltimore County, MD - 24005420900","2018","3.2%","",
"24","Maryland","24005421000","Baltimore County, MD - 24005421000","2018","3.6%","",
"24","Maryland","24005421101","Baltimore County, MD - 24005421101","2018","3.5%","",
"24","Maryland","24005421102","Baltimore County, MD - 24005421102","2018","3.2%","",
"24","Maryland","24005421200","Baltimore County, MD - 24005421200","2018","3.6%","",
"24","Maryland","24005421300","Baltimore County, MD - 24005421300","2018","4.5%","",
"24","Maryland","24005430101","Baltimore County, MD - 24005430101","2018","3.1%","",
"24","Maryland","24005430104","Baltimore County, MD - 24005430104","2018","2.7%","",
"24","Maryland","24005430200","Baltimore County, MD - 24005430200","2018","3.1%","",
"24","Maryland","24005430300","Baltimore County, MD - 24005430300","2018","4.0%","",
"24","Maryland","24005430400","Baltimore County, MD - 24005430400","2018","2.7%","",
"24","Maryland","24005430600","Baltimore County, MD - 24005430600","2018","2.0%","",
"24","Maryland","24005430700","Baltimore County, MD - 24005430700","2018","2.0%","",
"24","Maryland","24005430800","Baltimore County, MD - 24005430800","2018","2.4%","",
"24","Maryland","24005430900","Baltimore County, MD - 24005430900","2018","3.0%","",
"24","Maryland","24005440100","Baltimore County, MD - 24005440100","2018","2.5%","",
"24","Maryland","24005440200","Baltimore County, MD - 24005440200","2018","2.6%","",
"24","Maryland","24005440300","Baltimore County, MD - 24005440300","2018","2.5%","",
"24","Maryland","24005440400","Baltimore County, MD - 24005440400","2018","2.3%","",
"24","Maryland","24005440500","Baltimore County, MD - 24005440500","2018","2.3%","",
"24","Maryland","24005440600","Baltimore County, MD - 24005440600","2018","1.9%","",
"24","Maryland","24005440701","Baltimore County, MD - 24005440701","2018","2.4%","",
"24","Maryland","24005440702","Baltimore County, MD - 24005440702","2018","1.9%","",
"24","Maryland","24005440800","Baltimore County, MD - 24005440800","2018","2.2%","",
"24","Maryland","24005440900","Baltimore County, MD - 24005440900","2018","2.2%","",
"24","Maryland","24005441000","Baltimore County, MD - 24005441000","2018","2.9%","",
"24","Maryland","24005441101","Baltimore County, MD - 24005441101","2018","2.7%","",
"24","Maryland","24005441102","Baltimore County, MD - 24005441102","2018","2.8%","",
"24","Maryland","24005450100","Baltimore County, MD - 24005450100","2018","2.7%","",
"24","Maryland","24005450200","Baltimore County, MD - 24005450200","2018","3.2%","",
"24","Maryland","24005450300","Baltimore County, MD - 24005450300","2018","3.0%","",
"24","Maryland","24005450400","Baltimore County, MD - 24005450400","2018","3.0%","",
"24","Maryland","24005450501","Baltimore County, MD - 24005450501","2018","3.3%","",
"24","Maryland","24005450503","Baltimore County, MD - 24005450503","2018","3.0%","",
"24","Maryland","24005450504","Baltimore County, MD - 24005450504","2018","3.3%","",
"24","Maryland","24005450800","Baltimore County, MD - 24005450800","2018","2.8%","",
"24","Maryland","24005450900","Baltimore County, MD - 24005450900","2018","2.7%","",
"24","Maryland","24005451000","Baltimore County, MD - 24005451000","2018","2.5%","",
"24","Maryland","24005451100","Baltimore County, MD - 24005451100","2018","2.7%","",
"24","Maryland","24005451200","Baltimore County, MD - 24005451200","2018","2.8%","",
"24","Maryland","24005451300","Baltimore County, MD - 24005451300","2018","3.5%","",
"24","Maryland","24005451401","Baltimore County, MD - 24005451401","2018","2.5%","",
"24","Maryland","24005451402","Baltimore County, MD - 24005451402","2018","3.5%","",
"24","Maryland","24005451500","Baltimore County, MD - 24005451500","2018","2.9%","",
"24","Maryland","24005451600","Baltimore County, MD - 24005451600","2018","2.9%","",
"24","Maryland","24005451701","Baltimore County, MD - 24005451701","2018","1.8%","",
"24","Maryland","24005451702","Baltimore County, MD - 24005451702","2018","2.7%","",
"24","Maryland","24005451801","Baltimore County, MD - 24005451801","2018","2.7%","",
"24","Maryland","24005451802","Baltimore County, MD - 24005451802","2018","2.6%","",
"24","Maryland","24005451803","Baltimore County, MD - 24005451803","2018","2.5%","",
"24","Maryland","24005451900","Baltimore County, MD - 24005451900","2018","2.8%","",
"24","Maryland","24005452000","Baltimore County, MD - 24005452000","2018","2.6%","",
"24","Maryland","24005452100","Baltimore County, MD - 24005452100","2018","3.0%","",
"24","Maryland","24005452300","Baltimore County, MD - 24005452300","2018","3.2%","",
"24","Maryland","24005452400","Baltimore County, MD - 24005452400","2018","2.7%","",
"24","Maryland","24005452500","Baltimore County, MD - 24005452500","2018","3.4%","",
"24","Maryland","24005490100","Baltimore County, MD - 24005490100","2018","1.7%","",
"24","Maryland","24005490200","Baltimore County, MD - 24005490200","2018","1.7%","",
"24","Maryland","24005490301","Baltimore County, MD - 24005490301","2018","2.2%","",
"24","Maryland","24005490302","Baltimore County, MD - 24005490302","2018","1.7%","",
"24","Maryland","24005490400","Baltimore County, MD - 24005490400","2018","1.6%","",
"24","Maryland","24005490500","Baltimore County, MD - 24005490500","2018","1.3%","",
"24","Maryland","24005490601","Baltimore County, MD - 24005490601","2018","1.6%","",
"24","Maryland","24005490602","Baltimore County, MD - 24005490602","2018","1.8%","",
"24","Maryland","24005490603","Baltimore County, MD - 24005490603","2018","1.6%","",
"24","Maryland","24005490605","Baltimore County, MD - 24005490605","2018","9.4%","",
"24","Maryland","24005490701","Baltimore County, MD - 24005490701","2018","1.4%","",
"24","Maryland","24005490703","Baltimore County, MD - 24005490703","2018","1.6%","",
"24","Maryland","24005490800","Baltimore County, MD - 24005490800","2018","2.0%","",
"24","Maryland","24005490900","Baltimore County, MD - 24005490900","2018","1.9%","",
"24","Maryland","24005491000","Baltimore County, MD - 24005491000","2018","1.6%","",
"24","Maryland","24005491100","Baltimore County, MD - 24005491100","2018","1.9%","",
"24","Maryland","24005491201","Baltimore County, MD - 24005491201","2018","1.8%","",
"24","Maryland","24005491202","Baltimore County, MD - 24005491202","2018","2.1%","",
"24","Maryland","24005491300","Baltimore County, MD - 24005491300","2018","2.3%","",
"24","Maryland","24005491401","Baltimore County, MD - 24005491401","2018","2.5%","",
"24","Maryland","24005491402","Baltimore County, MD - 24005491402","2018","2.9%","",
"24","Maryland","24005491500","Baltimore County, MD - 24005491500","2018","2.1%","",
"24","Maryland","24005491600","Baltimore County, MD - 24005491600","2018","2.9%","",
"24","Maryland","24005491701","Baltimore County, MD - 24005491701","2018","2.0%","",
"24","Maryland","24005491900","Baltimore County, MD - 24005491900","2018","2.9%","",
"24","Maryland","24005492001","Baltimore County, MD - 24005492001","2018","2.6%","",
"24","Maryland","24005492002","Baltimore County, MD - 24005492002","2018","2.3%","",
"24","Maryland","24005492101","Baltimore County, MD - 24005492101","2018","2.3%","",
"24","Maryland","24005492102","Baltimore County, MD - 24005492102","2018","2.5%","",
"24","Maryland","24005492200","Baltimore County, MD - 24005492200","2018","2.1%","",
"24","Maryland","24005492300","Baltimore County, MD - 24005492300","2018","2.8%","",
"24","Maryland","24005492401","Baltimore County, MD - 24005492401","2018","2.0%","",
"24","Maryland","24005492402","Baltimore County, MD - 24005492402","2018","1.9%","",
"24","Maryland","24005492500","Baltimore County, MD - 24005492500","2018","1.9%","",
"24","Maryland","24005492600","Baltimore County, MD - 24005492600","2018","2.2%","",
"24","Maryland","24005980000","Baltimore County, MD - 24005980000","2018","No Data","",
"24","Maryland","24005980100","Baltimore County, MD - 24005980100","2018","No Data","",
"24","Maryland","24005980200","Baltimore County, MD - 24005980200","2018","No Data","",
"24","Maryland","24510010100","Baltimore city, MD - 24510010100","2018","1.6%","",
"24","Maryland","24510010200","Baltimore city, MD - 24510010200","2018","1.7%","",
"24","Maryland","24510010300","Baltimore city, MD - 24510010300","2018","1.5%","",
"24","Maryland","24510010400","Baltimore city, MD - 24510010400","2018","1.4%","",
"24","Maryland","24510010500","Baltimore city, MD - 24510010500","2018","1.8%","",
"24","Maryland","24510020100","Baltimore city, MD - 24510020100","2018","2.1%","",
"24","Maryland","24510020200","Baltimore city, MD - 24510020200","2018","1.8%","",
"24","Maryland","24510020300","Baltimore city, MD - 24510020300","2018","1.1%","",
"24","Maryland","24510030100","Baltimore city, MD - 24510030100","2018","5.1%","",
"24","Maryland","24510030200","Baltimore city, MD - 24510030200","2018","1.3%","",
