"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"24","Maryland","24003702204","Anne Arundel County, MD - 24003702204","2020","6.4%","","(5.1% - 7.9%)","5.1%","7.9%",
"24","Maryland","24003702205","Anne Arundel County, MD - 24003702205","2020","7.0%","","(5.6% - 8.8%)","5.6%","8.8%",
"24","Maryland","24003702206","Anne Arundel County, MD - 24003702206","2020","7.4%","","(6.0% - 9.0%)","6.0%","9.0%",
"24","Maryland","24003702208","Anne Arundel County, MD - 24003702208","2020","7.8%","","(6.5% - 9.2%)","6.5%","9.2%",
"24","Maryland","24003702209","Anne Arundel County, MD - 24003702209","2020","6.4%","","(5.2% - 8.0%)","5.2%","8.0%",
"24","Maryland","24003702300","Anne Arundel County, MD - 24003702300","2020","6.9%","","(5.8% - 8.0%)","5.8%","8.0%",
"24","Maryland","24003702402","Anne Arundel County, MD - 24003702402","2020","6.6%","","(5.5% - 7.9%)","5.5%","7.9%",
"24","Maryland","24003702500","Anne Arundel County, MD - 24003702500","2020","14.6%","","(12.3% - 16.7%)","12.3%","16.7%",
"24","Maryland","24003702601","Anne Arundel County, MD - 24003702601","2020","6.2%","","(5.3% - 7.4%)","5.3%","7.4%",
"24","Maryland","24003702602","Anne Arundel County, MD - 24003702602","2020","5.7%","","(4.5% - 7.1%)","4.5%","7.1%",
"24","Maryland","24003702701","Anne Arundel County, MD - 24003702701","2020","7.6%","","(6.0% - 10.0%)","6.0%","10.0%",
"24","Maryland","24003702702","Anne Arundel County, MD - 24003702702","2020","5.1%","","(4.2% - 6.3%)","4.2%","6.3%",
"24","Maryland","24003706101","Anne Arundel County, MD - 24003706101","2020","7.7%","","(6.2% - 9.7%)","6.2%","9.7%",
"24","Maryland","24003706301","Anne Arundel County, MD - 24003706301","2020","9.1%","","(7.5% - 11.2%)","7.5%","11.2%",
"24","Maryland","24003706302","Anne Arundel County, MD - 24003706302","2020","6.4%","","(4.9% - 8.5%)","4.9%","8.5%",
"24","Maryland","24003706401","Anne Arundel County, MD - 24003706401","2020","20.0%","","(16.5% - 23.9%)","16.5%","23.9%",
"24","Maryland","24003706402","Anne Arundel County, MD - 24003706402","2020","12.5%","","(10.6% - 14.8%)","10.6%","14.8%",
"24","Maryland","24003706500","Anne Arundel County, MD - 24003706500","2020","11.1%","","(9.5% - 12.8%)","9.5%","12.8%",
"24","Maryland","24003706600","Anne Arundel County, MD - 24003706600","2020","8.6%","","(6.8% - 10.9%)","6.8%","10.9%",
"24","Maryland","24003706700","Anne Arundel County, MD - 24003706700","2020","11.5%","","(8.3% - 14.5%)","8.3%","14.5%",
"24","Maryland","24003707001","Anne Arundel County, MD - 24003707001","2020","8.5%","","(7.3% - 9.8%)","7.3%","9.8%",
"24","Maryland","24003707002","Anne Arundel County, MD - 24003707002","2020","7.7%","","(6.6% - 8.9%)","6.6%","8.9%",
"24","Maryland","24003708001","Anne Arundel County, MD - 24003708001","2020","7.5%","","(6.8% - 8.3%)","6.8%","8.3%",
"24","Maryland","24003708004","Anne Arundel County, MD - 24003708004","2020","10.4%","","(8.7% - 12.1%)","8.7%","12.1%",
"24","Maryland","24003730100","Anne Arundel County, MD - 24003730100","2020","9.0%","","(7.8% - 10.5%)","7.8%","10.5%",
"24","Maryland","24003730203","Anne Arundel County, MD - 24003730203","2020","14.0%","","(12.0% - 16.2%)","12.0%","16.2%",
"24","Maryland","24003730204","Anne Arundel County, MD - 24003730204","2020","13.5%","","(12.1% - 14.9%)","12.1%","14.9%",
"24","Maryland","24003730300","Anne Arundel County, MD - 24003730300","2020","11.3%","","(9.4% - 13.5%)","9.4%","13.5%",
"24","Maryland","24003730401","Anne Arundel County, MD - 24003730401","2020","11.8%","","(10.0% - 13.7%)","10.0%","13.7%",
"24","Maryland","24003730402","Anne Arundel County, MD - 24003730402","2020","12.7%","","(10.9% - 14.7%)","10.9%","14.7%",
"24","Maryland","24003730502","Anne Arundel County, MD - 24003730502","2020","9.8%","","(8.4% - 11.4%)","8.4%","11.4%",
"24","Maryland","24003730504","Anne Arundel County, MD - 24003730504","2020","9.0%","","(7.7% - 10.4%)","7.7%","10.4%",
"24","Maryland","24003730505","Anne Arundel County, MD - 24003730505","2020","13.4%","","(11.3% - 15.8%)","11.3%","15.8%",
"24","Maryland","24003730506","Anne Arundel County, MD - 24003730506","2020","13.0%","","(11.1% - 15.1%)","11.1%","15.1%",
"24","Maryland","24003730601","Anne Arundel County, MD - 24003730601","2020","5.6%","","(4.4% - 7.1%)","4.4%","7.1%",
"24","Maryland","24003730603","Anne Arundel County, MD - 24003730603","2020","8.3%","","(6.7% - 10.2%)","6.7%","10.2%",
"24","Maryland","24003730604","Anne Arundel County, MD - 24003730604","2020","5.7%","","(4.6% - 7.3%)","4.6%","7.3%",
"24","Maryland","24003730700","Anne Arundel County, MD - 24003730700","2020","6.2%","","(4.8% - 8.1%)","4.8%","8.1%",
"24","Maryland","24003730800","Anne Arundel County, MD - 24003730800","2020","5.3%","","(4.3% - 6.5%)","4.3%","6.5%",
"24","Maryland","24003730901","Anne Arundel County, MD - 24003730901","2020","6.4%","","(5.3% - 7.6%)","5.3%","7.6%",
"24","Maryland","24003730902","Anne Arundel County, MD - 24003730902","2020","5.9%","","(4.7% - 7.4%)","4.7%","7.4%",
"24","Maryland","24003731002","Anne Arundel County, MD - 24003731002","2020","7.5%","","(6.2% - 9.1%)","6.2%","9.1%",
"24","Maryland","24003731003","Anne Arundel County, MD - 24003731003","2020","6.9%","","(5.6% - 8.5%)","5.6%","8.5%",
"24","Maryland","24003731004","Anne Arundel County, MD - 24003731004","2020","6.8%","","(5.6% - 8.2%)","5.6%","8.2%",
"24","Maryland","24003731102","Anne Arundel County, MD - 24003731102","2020","5.9%","","(4.7% - 7.5%)","4.7%","7.5%",
"24","Maryland","24003731103","Anne Arundel County, MD - 24003731103","2020","7.6%","","(6.5% - 8.9%)","6.5%","8.9%",
"24","Maryland","24003731104","Anne Arundel County, MD - 24003731104","2020","8.0%","","(6.5% - 10.1%)","6.5%","10.1%",
"24","Maryland","24003731105","Anne Arundel County, MD - 24003731105","2020","6.8%","","(5.4% - 8.6%)","5.4%","8.6%",
"24","Maryland","24003731201","Anne Arundel County, MD - 24003731201","2020","6.1%","","(4.7% - 7.8%)","4.7%","7.8%",
"24","Maryland","24003731202","Anne Arundel County, MD - 24003731202","2020","8.3%","","(6.6% - 10.2%)","6.6%","10.2%",
"24","Maryland","24003731203","Anne Arundel County, MD - 24003731203","2020","6.8%","","(5.7% - 8.1%)","5.7%","8.1%",
"24","Maryland","24003731204","Anne Arundel County, MD - 24003731204","2020","9.0%","","(7.2% - 11.1%)","7.2%","11.1%",
"24","Maryland","24003731303","Anne Arundel County, MD - 24003731303","2020","7.7%","","(6.0% - 9.8%)","6.0%","9.8%",
"24","Maryland","24003731306","Anne Arundel County, MD - 24003731306","2020","8.1%","","(6.4% - 10.1%)","6.4%","10.1%",
"24","Maryland","24003731307","Anne Arundel County, MD - 24003731307","2020","9.1%","","(7.6% - 10.9%)","7.6%","10.9%",
"24","Maryland","24003731308","Anne Arundel County, MD - 24003731308","2020","9.6%","","(7.8% - 11.8%)","7.8%","11.8%",
"24","Maryland","24003731309","Anne Arundel County, MD - 24003731309","2020","10.1%","","(8.1% - 12.3%)","8.1%","12.3%",
"24","Maryland","24003731310","Anne Arundel County, MD - 24003731310","2020","10.2%","","(8.5% - 12.3%)","8.5%","12.3%",
"24","Maryland","24003731311","Anne Arundel County, MD - 24003731311","2020","9.6%","","(8.1% - 11.4%)","8.1%","11.4%",
"24","Maryland","24003740102","Anne Arundel County, MD - 24003740102","2020","8.7%","","(7.4% - 10.2%)","7.4%","10.2%",
"24","Maryland","24003740103","Anne Arundel County, MD - 24003740103","2020","8.7%","","(7.7% - 9.7%)","7.7%","9.7%",
"24","Maryland","24003740104","Anne Arundel County, MD - 24003740104","2020","9.3%","","(7.9% - 10.9%)","7.9%","10.9%",
"24","Maryland","24003740105","Anne Arundel County, MD - 24003740105","2020","13.9%","","(11.7% - 16.2%)","11.7%","16.2%",
"24","Maryland","24003740201","Anne Arundel County, MD - 24003740201","2020","11.3%","","(9.8% - 12.8%)","9.8%","12.8%",
"24","Maryland","24003740203","Anne Arundel County, MD - 24003740203","2020","8.4%","","(7.0% - 10.0%)","7.0%","10.0%",
"24","Maryland","24003740303","Anne Arundel County, MD - 24003740303","2020","9.3%","","(7.9% - 11.0%)","7.9%","11.0%",
"24","Maryland","24003740304","Anne Arundel County, MD - 24003740304","2020","8.3%","","(7.4% - 9.4%)","7.4%","9.4%",
"24","Maryland","24003740305","Anne Arundel County, MD - 24003740305","2020","11.1%","","(9.5% - 12.8%)","9.5%","12.8%",
"24","Maryland","24003740400","Anne Arundel County, MD - 24003740400","2020","18.2%","","(14.8% - 21.9%)","14.8%","21.9%",
"24","Maryland","24003740500","Anne Arundel County, MD - 24003740500","2020","8.5%","","(7.1% - 10.3%)","7.1%","10.3%",
"24","Maryland","24003740601","Anne Arundel County, MD - 24003740601","2020","10.1%","","(8.7% - 11.9%)","8.7%","11.9%",
"24","Maryland","24003740602","Anne Arundel County, MD - 24003740602","2020","11.5%","","(9.4% - 13.9%)","9.4%","13.9%",
"24","Maryland","24003740603","Anne Arundel County, MD - 24003740603","2020","11.5%","","(9.2% - 13.9%)","9.2%","13.9%",
"24","Maryland","24003740701","Anne Arundel County, MD - 24003740701","2020","7.2%","","(5.9% - 8.6%)","5.9%","8.6%",
"24","Maryland","24003740702","Anne Arundel County, MD - 24003740702","2020","7.6%","","(6.4% - 9.0%)","6.4%","9.0%",
"24","Maryland","24003740800","Anne Arundel County, MD - 24003740800","2020","7.9%","","(6.7% - 9.2%)","6.7%","9.2%",
"24","Maryland","24003740900","Anne Arundel County, MD - 24003740900","2020","11.0%","","(9.4% - 12.9%)","9.4%","12.9%",
"24","Maryland","24003741000","Anne Arundel County, MD - 24003741000","2020","8.4%","","(7.3% - 9.6%)","7.3%","9.6%",
"24","Maryland","24003750101","Anne Arundel County, MD - 24003750101","2020","13.9%","","(12.2% - 15.9%)","12.2%","15.9%",
"24","Maryland","24003750102","Anne Arundel County, MD - 24003750102","2020","13.2%","","(11.2% - 15.2%)","11.2%","15.2%",
"24","Maryland","24003750201","Anne Arundel County, MD - 24003750201","2020","12.9%","","(11.3% - 14.7%)","11.3%","14.7%",
"24","Maryland","24003750202","Anne Arundel County, MD - 24003750202","2020","11.6%","","(9.9% - 13.6%)","9.9%","13.6%",
"24","Maryland","24003750203","Anne Arundel County, MD - 24003750203","2020","12.1%","","(10.0% - 14.3%)","10.0%","14.3%",
"24","Maryland","24003750300","Anne Arundel County, MD - 24003750300","2020","9.7%","","(7.9% - 11.6%)","7.9%","11.6%",
"24","Maryland","24003750400","Anne Arundel County, MD - 24003750400","2020","7.9%","","(6.6% - 9.5%)","6.6%","9.5%",
"24","Maryland","24003750801","Anne Arundel County, MD - 24003750801","2020","9.5%","","(7.9% - 11.6%)","7.9%","11.6%",
"24","Maryland","24003750803","Anne Arundel County, MD - 24003750803","2020","15.0%","","(13.1% - 17.0%)","13.1%","17.0%",
"24","Maryland","24003750804","Anne Arundel County, MD - 24003750804","2020","12.3%","","(10.6% - 14.1%)","10.6%","14.1%",
"24","Maryland","24003750900","Anne Arundel County, MD - 24003750900","2020","11.0%","","(9.3% - 12.9%)","9.3%","12.9%",
"24","Maryland","24003751000","Anne Arundel County, MD - 24003751000","2020","12.1%","","(10.3% - 14.1%)","10.3%","14.1%",
"24","Maryland","24003751102","Anne Arundel County, MD - 24003751102","2020","12.2%","","(10.3% - 14.2%)","10.3%","14.2%",
"24","Maryland","24003751103","Anne Arundel County, MD - 24003751103","2020","10.6%","","(8.8% - 12.6%)","8.8%","12.6%",
"24","Maryland","24003751200","Anne Arundel County, MD - 24003751200","2020","8.0%","","(6.3% - 9.9%)","6.3%","9.9%",
"24","Maryland","24003751400","Anne Arundel County, MD - 24003751400","2020","7.9%","","(6.9% - 9.2%)","6.9%","9.2%",
"24","Maryland","24003751500","Anne Arundel County, MD - 24003751500","2020","16.0%","","(13.9% - 18.2%)","13.9%","18.2%",
"24","Maryland","24003751600","Anne Arundel County, MD - 24003751600","2020","7.2%","","(6.0% - 8.7%)","6.0%","8.7%",
"24","Maryland","24003751700","Anne Arundel County, MD - 24003751700","2020","6.6%","","(5.6% - 7.9%)","5.6%","7.9%",
"24","Maryland","24003980000","Anne Arundel County, MD - 24003980000","2020","Low Population","","","","",
"24","Maryland","24003990000","Anne Arundel County, MD - 24003990000","2020","Low Population","","","","",
"24","Maryland","24005400100","Baltimore County, MD - 24005400100","2020","10.8%","","(9.4% - 12.4%)","9.4%","12.4%",
"24","Maryland","24005400200","Baltimore County, MD - 24005400200","2020","9.0%","","(7.1% - 11.1%)","7.1%","11.1%",
"24","Maryland","24005400400","Baltimore County, MD - 24005400400","2020","6.6%","","(5.3% - 8.2%)","5.3%","8.2%",
"24","Maryland","24005400500","Baltimore County, MD - 24005400500","2020","5.3%","","(4.1% - 7.0%)","4.1%","7.0%",
"24","Maryland","24005400600","Baltimore County, MD - 24005400600","2020","8.3%","","(7.0% - 9.7%)","7.0%","9.7%",
"24","Maryland","24005400701","Baltimore County, MD - 24005400701","2020","9.1%","","(7.8% - 10.6%)","7.8%","10.6%",
"24","Maryland","24005400702","Baltimore County, MD - 24005400702","2020","9.0%","","(7.9% - 10.3%)","7.9%","10.3%",
"24","Maryland","24005400800","Baltimore County, MD - 24005400800","2020","11.5%","","(9.9% - 13.2%)","9.9%","13.2%",
"24","Maryland","24005400900","Baltimore County, MD - 24005400900","2020","10.3%","","(8.4% - 12.3%)","8.4%","12.3%",
"24","Maryland","24005401000","Baltimore County, MD - 24005401000","2020","7.6%","","(6.0% - 9.7%)","6.0%","9.7%",
"24","Maryland","24005401101","Baltimore County, MD - 24005401101","2020","13.6%","","(12.0% - 15.6%)","12.0%","15.6%",
"24","Maryland","24005401102","Baltimore County, MD - 24005401102","2020","12.9%","","(10.4% - 15.5%)","10.4%","15.5%",
"24","Maryland","24005401200","Baltimore County, MD - 24005401200","2020","12.8%","","(10.5% - 15.5%)","10.5%","15.5%",
"24","Maryland","24005401301","Baltimore County, MD - 24005401301","2020","13.4%","","(11.1% - 16.0%)","11.1%","16.0%",
"24","Maryland","24005401302","Baltimore County, MD - 24005401302","2020","11.8%","","(10.3% - 13.4%)","10.3%","13.4%",
"24","Maryland","24005401400","Baltimore County, MD - 24005401400","2020","6.6%","","(5.3% - 8.1%)","5.3%","8.1%",
"24","Maryland","24005401503","Baltimore County, MD - 24005401503","2020","7.3%","","(5.9% - 9.0%)","5.9%","9.0%",
"24","Maryland","24005401504","Baltimore County, MD - 24005401504","2020","10.1%","","(8.5% - 11.9%)","8.5%","11.9%",
"24","Maryland","24005401505","Baltimore County, MD - 24005401505","2020","13.1%","","(11.3% - 15.0%)","11.3%","15.0%",
"24","Maryland","24005401506","Baltimore County, MD - 24005401506","2020","10.9%","","(8.9% - 13.0%)","8.9%","13.0%",
"24","Maryland","24005401507","Baltimore County, MD - 24005401507","2020","14.6%","","(12.5% - 17.0%)","12.5%","17.0%",
"24","Maryland","24005402201","Baltimore County, MD - 24005402201","2020","10.2%","","(8.8% - 12.0%)","8.8%","12.0%",
"24","Maryland","24005402202","Baltimore County, MD - 24005402202","2020","8.2%","","(7.1% - 9.6%)","7.1%","9.6%",
"24","Maryland","24005402302","Baltimore County, MD - 24005402302","2020","11.5%","","(9.5% - 13.7%)","9.5%","13.7%",
"24","Maryland","24005402303","Baltimore County, MD - 24005402303","2020","12.8%","","(10.4% - 15.3%)","10.4%","15.3%",
"24","Maryland","24005402304","Baltimore County, MD - 24005402304","2020","12.7%","","(10.1% - 15.8%)","10.1%","15.8%",
"24","Maryland","24005402305","Baltimore County, MD - 24005402305","2020","11.3%","","(9.6% - 13.1%)","9.6%","13.1%",
"24","Maryland","24005402306","Baltimore County, MD - 24005402306","2020","12.4%","","(10.5% - 14.6%)","10.5%","14.6%",
"24","Maryland","24005402307","Baltimore County, MD - 24005402307","2020","13.2%","","(11.5% - 15.1%)","11.5%","15.1%",
"24","Maryland","24005402403","Baltimore County, MD - 24005402403","2020","11.9%","","(9.3% - 14.7%)","9.3%","14.7%",
"24","Maryland","24005402404","Baltimore County, MD - 24005402404","2020","13.7%","","(10.5% - 17.2%)","10.5%","17.2%",
"24","Maryland","24005402405","Baltimore County, MD - 24005402405","2020","14.9%","","(12.5% - 17.6%)","12.5%","17.6%",
"24","Maryland","24005402406","Baltimore County, MD - 24005402406","2020","12.9%","","(10.7% - 15.5%)","10.7%","15.5%",
"24","Maryland","24005402407","Baltimore County, MD - 24005402407","2020","11.7%","","(9.3% - 14.5%)","9.3%","14.5%",
"24","Maryland","24005402503","Baltimore County, MD - 24005402503","2020","11.6%","","(9.6% - 14.3%)","9.6%","14.3%",
"24","Maryland","24005402504","Baltimore County, MD - 24005402504","2020","10.9%","","(9.0% - 12.9%)","9.0%","12.9%",
"24","Maryland","24005402505","Baltimore County, MD - 24005402505","2020","12.1%","","(10.0% - 14.5%)","10.0%","14.5%",
"24","Maryland","24005402506","Baltimore County, MD - 24005402506","2020","11.4%","","(9.1% - 13.9%)","9.1%","13.9%",
"24","Maryland","24005402509","Baltimore County, MD - 24005402509","2020","8.8%","","(7.4% - 10.6%)","7.4%","10.6%",
"24","Maryland","24005402602","Baltimore County, MD - 24005402602","2020","12.2%","","(10.0% - 14.5%)","10.0%","14.5%",
"24","Maryland","24005402603","Baltimore County, MD - 24005402603","2020","8.5%","","(7.1% - 10.4%)","7.1%","10.4%",
"24","Maryland","24005402604","Baltimore County, MD - 24005402604","2020","11.6%","","(10.0% - 13.2%)","10.0%","13.2%",
"24","Maryland","24005403100","Baltimore County, MD - 24005403100","2020","11.2%","","(9.8% - 12.9%)","9.8%","12.9%",
"24","Maryland","24005403201","Baltimore County, MD - 24005403201","2020","11.5%","","(9.9% - 13.2%)","9.9%","13.2%",
"24","Maryland","24005403202","Baltimore County, MD - 24005403202","2020","10.1%","","(8.1% - 12.8%)","8.1%","12.8%",
"24","Maryland","24005403300","Baltimore County, MD - 24005403300","2020","9.5%","","(8.1% - 11.2%)","8.1%","11.2%",
"24","Maryland","24005403401","Baltimore County, MD - 24005403401","2020","8.5%","","(7.0% - 10.2%)","7.0%","10.2%",
"24","Maryland","24005403402","Baltimore County, MD - 24005403402","2020","11.7%","","(10.3% - 13.2%)","10.3%","13.2%",
"24","Maryland","24005403500","Baltimore County, MD - 24005403500","2020","6.3%","","(5.5% - 7.4%)","5.5%","7.4%",
"24","Maryland","24005403601","Baltimore County, MD - 24005403601","2020","6.7%","","(5.3% - 8.5%)","5.3%","8.5%",
"24","Maryland","24005403602","Baltimore County, MD - 24005403602","2020","6.7%","","(5.6% - 8.2%)","5.6%","8.2%",
"24","Maryland","24005403701","Baltimore County, MD - 24005403701","2020","7.3%","","(6.4% - 8.4%)","6.4%","8.4%",
"24","Maryland","24005403702","Baltimore County, MD - 24005403702","2020","8.8%","","(7.6% - 10.5%)","7.6%","10.5%",
"24","Maryland","24005403801","Baltimore County, MD - 24005403801","2020","5.0%","","(4.1% - 6.3%)","4.1%","6.3%",
"24","Maryland","24005403802","Baltimore County, MD - 24005403802","2020","5.0%","","(4.0% - 6.5%)","4.0%","6.5%",
"24","Maryland","24005403803","Baltimore County, MD - 24005403803","2020","5.2%","","(4.4% - 6.1%)","4.4%","6.1%",
"24","Maryland","24005404101","Baltimore County, MD - 24005404101","2020","8.3%","","(7.2% - 9.6%)","7.2%","9.6%",
"24","Maryland","24005404102","Baltimore County, MD - 24005404102","2020","11.4%","","(9.8% - 13.2%)","9.8%","13.2%",
"24","Maryland","24005404201","Baltimore County, MD - 24005404201","2020","12.4%","","(10.6% - 14.3%)","10.6%","14.3%",
"24","Maryland","24005404202","Baltimore County, MD - 24005404202","2020","15.1%","","(12.8% - 17.7%)","12.8%","17.7%",
"24","Maryland","24005404402","Baltimore County, MD - 24005404402","2020","6.9%","","(6.0% - 8.0%)","6.0%","8.0%",
"24","Maryland","24005404403","Baltimore County, MD - 24005404403","2020","12.6%","","(10.6% - 14.6%)","10.6%","14.6%",
"24","Maryland","24005404404","Baltimore County, MD - 24005404404","2020","8.8%","","(7.2% - 10.7%)","7.2%","10.7%",
"24","Maryland","24005404501","Baltimore County, MD - 24005404501","2020","10.7%","","(9.0% - 12.7%)","9.0%","12.7%",
"24","Maryland","24005404502","Baltimore County, MD - 24005404502","2020","13.1%","","(11.3% - 15.0%)","11.3%","15.0%",
"24","Maryland","24005404600","Baltimore County, MD - 24005404600","2020","8.0%","","(6.7% - 9.6%)","6.7%","9.6%",
"24","Maryland","24005404800","Baltimore County, MD - 24005404800","2020","7.2%","","(5.6% - 9.3%)","5.6%","9.3%",
"24","Maryland","24005404900","Baltimore County, MD - 24005404900","2020","6.1%","","(4.7% - 8.1%)","4.7%","8.1%",
"24","Maryland","24005405000","Baltimore County, MD - 24005405000","2020","7.5%","","(6.6% - 8.5%)","6.6%","8.5%",
"24","Maryland","24005406000","Baltimore County, MD - 24005406000","2020","7.2%","","(6.2% - 8.4%)","6.2%","8.4%",
"24","Maryland","24005407001","Baltimore County, MD - 24005407001","2020","7.6%","","(6.3% - 8.9%)","6.3%","8.9%",
"24","Maryland","24005407002","Baltimore County, MD - 24005407002","2020","7.5%","","(6.4% - 8.8%)","6.4%","8.8%",
"24","Maryland","24005408100","Baltimore County, MD - 24005408100","2020","6.4%","","(5.5% - 7.6%)","5.5%","7.6%",
"24","Maryland","24005408200","Baltimore County, MD - 24005408200","2020","6.4%","","(5.4% - 7.5%)","5.4%","7.5%",
"24","Maryland","24005408302","Baltimore County, MD - 24005408302","2020","5.3%","","(4.1% - 6.9%)","4.1%","6.9%",
"24","Maryland","24005408303","Baltimore County, MD - 24005408303","2020","4.7%","","(4.0% - 6.0%)","4.0%","6.0%",
"24","Maryland","24005408304","Baltimore County, MD - 24005408304","2020","5.6%","","(4.9% - 6.6%)","4.9%","6.6%",
"24","Maryland","24005408400","Baltimore County, MD - 24005408400","2020","8.0%","","(6.4% - 9.8%)","6.4%","9.8%",
"24","Maryland","24005408502","Baltimore County, MD - 24005408502","2020","6.4%","","(5.3% - 7.6%)","5.3%","7.6%",
"24","Maryland","24005408503","Baltimore County, MD - 24005408503","2020","10.5%","","(9.0% - 12.2%)","9.0%","12.2%",
"24","Maryland","24005408505","Baltimore County, MD - 24005408505","2020","7.0%","","(5.6% - 8.6%)","5.6%","8.6%",
"24","Maryland","24005408506","Baltimore County, MD - 24005408506","2020","11.1%","","(9.7% - 12.7%)","9.7%","12.7%",
"24","Maryland","24005408507","Baltimore County, MD - 24005408507","2020","13.2%","","(11.1% - 15.6%)","11.1%","15.6%",
"24","Maryland","24005408601","Baltimore County, MD - 24005408601","2020","7.0%","","(5.5% - 8.7%)","5.5%","8.7%",
"24","Maryland","24005408602","Baltimore County, MD - 24005408602","2020","6.0%","","(4.7% - 7.7%)","4.7%","7.7%",
"24","Maryland","24005408702","Baltimore County, MD - 24005408702","2020","5.4%","","(4.3% - 6.9%)","4.3%","6.9%",
"24","Maryland","24005408703","Baltimore County, MD - 24005408703","2020","5.9%","","(4.7% - 7.3%)","4.7%","7.3%",
"24","Maryland","24005408704","Baltimore County, MD - 24005408704","2020","6.0%","","(4.7% - 7.8%)","4.7%","7.8%",
"24","Maryland","24005408800","Baltimore County, MD - 24005408800","2020","7.4%","","(6.0% - 9.1%)","6.0%","9.1%",
"24","Maryland","24005408900","Baltimore County, MD - 24005408900","2020","6.9%","","(5.3% - 8.9%)","5.3%","8.9%",
"24","Maryland","24005410100","Baltimore County, MD - 24005410100","2020","5.6%","","(4.7% - 6.9%)","4.7%","6.9%",
"24","Maryland","24005410200","Baltimore County, MD - 24005410200","2020","5.6%","","(4.6% - 6.8%)","4.6%","6.8%",
"24","Maryland","24005411101","Baltimore County, MD - 24005411101","2020","7.1%","","(5.6% - 8.9%)","5.6%","8.9%",
