"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"24","Maryland","24003731307","Anne Arundel County, MD - 24003731307","2020","91","",
"24","Maryland","24003731308","Anne Arundel County, MD - 24003731308","2020","89","",
"24","Maryland","24003731309","Anne Arundel County, MD - 24003731309","2020","234","",
"24","Maryland","24003731310","Anne Arundel County, MD - 24003731310","2020","71","",
"24","Maryland","24003731312","Anne Arundel County, MD - 24003731312","2020","151","",
"24","Maryland","24003731313","Anne Arundel County, MD - 24003731313","2020","173","",
"24","Maryland","24003740103","Anne Arundel County, MD - 24003740103","2020","181","",
"24","Maryland","24003740104","Anne Arundel County, MD - 24003740104","2020","371","",
"24","Maryland","24003740105","Anne Arundel County, MD - 24003740105","2020","70","",
"24","Maryland","24003740106","Anne Arundel County, MD - 24003740106","2020","44","",
"24","Maryland","24003740107","Anne Arundel County, MD - 24003740107","2020","259","",
"24","Maryland","24003740108","Anne Arundel County, MD - 24003740108","2020","449","",
"24","Maryland","24003740203","Anne Arundel County, MD - 24003740203","2020","340","",
"24","Maryland","24003740204","Anne Arundel County, MD - 24003740204","2020","60","",
"24","Maryland","24003740205","Anne Arundel County, MD - 24003740205","2020","214","",
"24","Maryland","24003740303","Anne Arundel County, MD - 24003740303","2020","276","",
"24","Maryland","24003740304","Anne Arundel County, MD - 24003740304","2020","221","",
"24","Maryland","24003740305","Anne Arundel County, MD - 24003740305","2020","440","",
"24","Maryland","24003740400","Anne Arundel County, MD - 24003740400","2020","114","",
"24","Maryland","24003740501","Anne Arundel County, MD - 24003740501","2020","102","",
"24","Maryland","24003740502","Anne Arundel County, MD - 24003740502","2020","253","",
"24","Maryland","24003740601","Anne Arundel County, MD - 24003740601","2020","341","",
"24","Maryland","24003740602","Anne Arundel County, MD - 24003740602","2020","166","",
"24","Maryland","24003740603","Anne Arundel County, MD - 24003740603","2020","65","",
"24","Maryland","24003740701","Anne Arundel County, MD - 24003740701","2020","221","",
"24","Maryland","24003740703","Anne Arundel County, MD - 24003740703","2020","109","",
"24","Maryland","24003740704","Anne Arundel County, MD - 24003740704","2020","75","",
"24","Maryland","24003740800","Anne Arundel County, MD - 24003740800","2020","94","",
"24","Maryland","24003740900","Anne Arundel County, MD - 24003740900","2020","676","",
"24","Maryland","24003741000","Anne Arundel County, MD - 24003741000","2020","31","",
"24","Maryland","24003750101","Anne Arundel County, MD - 24003750101","2020","311","",
"24","Maryland","24003750102","Anne Arundel County, MD - 24003750102","2020","82","",
"24","Maryland","24003750201","Anne Arundel County, MD - 24003750201","2020","258","",
"24","Maryland","24003750204","Anne Arundel County, MD - 24003750204","2020","137","",
"24","Maryland","24003750300","Anne Arundel County, MD - 24003750300","2020","53","",
"24","Maryland","24003750400","Anne Arundel County, MD - 24003750400","2020","42","",
"24","Maryland","24003750801","Anne Arundel County, MD - 24003750801","2020","91","",
"24","Maryland","24003750803","Anne Arundel County, MD - 24003750803","2020","359","",
"24","Maryland","24003750804","Anne Arundel County, MD - 24003750804","2020","216","",
"24","Maryland","24003750900","Anne Arundel County, MD - 24003750900","2020","133","",
"24","Maryland","24003751000","Anne Arundel County, MD - 24003751000","2020","147","",
"24","Maryland","24003751102","Anne Arundel County, MD - 24003751102","2020","201","",
"24","Maryland","24003751103","Anne Arundel County, MD - 24003751103","2020","0","",
"24","Maryland","24003751200","Anne Arundel County, MD - 24003751200","2020","130","",
"24","Maryland","24003751400","Anne Arundel County, MD - 24003751400","2020","129","",
"24","Maryland","24003751500","Anne Arundel County, MD - 24003751500","2020","584","",
"24","Maryland","24003751600","Anne Arundel County, MD - 24003751600","2020","32","",
"24","Maryland","24003751700","Anne Arundel County, MD - 24003751700","2020","0","",
"24","Maryland","24003980000","Anne Arundel County, MD - 24003980000","2020","0","",
"24","Maryland","24003990000","Anne Arundel County, MD - 24003990000","2020","Zero Population","",
"24","Maryland","24005400100","Baltimore County, MD - 24005400100","2020","287","",
"24","Maryland","24005400200","Baltimore County, MD - 24005400200","2020","101","",
"24","Maryland","24005400400","Baltimore County, MD - 24005400400","2020","198","",
"24","Maryland","24005400500","Baltimore County, MD - 24005400500","2020","37","",
"24","Maryland","24005400600","Baltimore County, MD - 24005400600","2020","233","",
"24","Maryland","24005400701","Baltimore County, MD - 24005400701","2020","47","",
"24","Maryland","24005400702","Baltimore County, MD - 24005400702","2020","96","",
"24","Maryland","24005400800","Baltimore County, MD - 24005400800","2020","111","",
"24","Maryland","24005400900","Baltimore County, MD - 24005400900","2020","319","",
"24","Maryland","24005401000","Baltimore County, MD - 24005401000","2020","87","",
"24","Maryland","24005401101","Baltimore County, MD - 24005401101","2020","261","",
"24","Maryland","24005401102","Baltimore County, MD - 24005401102","2020","59","",
"24","Maryland","24005401200","Baltimore County, MD - 24005401200","2020","96","",
"24","Maryland","24005401301","Baltimore County, MD - 24005401301","2020","157","",
"24","Maryland","24005401302","Baltimore County, MD - 24005401302","2020","111","",
"24","Maryland","24005401400","Baltimore County, MD - 24005401400","2020","22","",
"24","Maryland","24005401503","Baltimore County, MD - 24005401503","2020","23","",
"24","Maryland","24005401504","Baltimore County, MD - 24005401504","2020","1,049","",
"24","Maryland","24005401505","Baltimore County, MD - 24005401505","2020","248","",
"24","Maryland","24005401506","Baltimore County, MD - 24005401506","2020","417","",
"24","Maryland","24005401507","Baltimore County, MD - 24005401507","2020","1,015","",
"24","Maryland","24005402201","Baltimore County, MD - 24005402201","2020","64","",
"24","Maryland","24005402202","Baltimore County, MD - 24005402202","2020","35","",
"24","Maryland","24005402302","Baltimore County, MD - 24005402302","2020","156","",
"24","Maryland","24005402303","Baltimore County, MD - 24005402303","2020","399","",
"24","Maryland","24005402304","Baltimore County, MD - 24005402304","2020","81","",
"24","Maryland","24005402305","Baltimore County, MD - 24005402305","2020","190","",
"24","Maryland","24005402306","Baltimore County, MD - 24005402306","2020","393","",
"24","Maryland","24005402307","Baltimore County, MD - 24005402307","2020","224","",
"24","Maryland","24005402403","Baltimore County, MD - 24005402403","2020","35","",
"24","Maryland","24005402404","Baltimore County, MD - 24005402404","2020","401","",
"24","Maryland","24005402405","Baltimore County, MD - 24005402405","2020","54","",
"24","Maryland","24005402407","Baltimore County, MD - 24005402407","2020","20","",
"24","Maryland","24005402408","Baltimore County, MD - 24005402408","2020","29","",
"24","Maryland","24005402409","Baltimore County, MD - 24005402409","2020","0","",
"24","Maryland","24005402503","Baltimore County, MD - 24005402503","2020","349","",
"24","Maryland","24005402504","Baltimore County, MD - 24005402504","2020","176","",
"24","Maryland","24005402505","Baltimore County, MD - 24005402505","2020","78","",
"24","Maryland","24005402506","Baltimore County, MD - 24005402506","2020","95","",
"24","Maryland","24005402510","Baltimore County, MD - 24005402510","2020","405","",
"24","Maryland","24005402511","Baltimore County, MD - 24005402511","2020","152","",
"24","Maryland","24005402602","Baltimore County, MD - 24005402602","2020","58","",
"24","Maryland","24005402603","Baltimore County, MD - 24005402603","2020","40","",
"24","Maryland","24005402604","Baltimore County, MD - 24005402604","2020","157","",
"24","Maryland","24005403100","Baltimore County, MD - 24005403100","2020","78","",
"24","Maryland","24005403201","Baltimore County, MD - 24005403201","2020","120","",
"24","Maryland","24005403202","Baltimore County, MD - 24005403202","2020","3","",
"24","Maryland","24005403300","Baltimore County, MD - 24005403300","2020","22","",
"24","Maryland","24005403401","Baltimore County, MD - 24005403401","2020","156","",
"24","Maryland","24005403402","Baltimore County, MD - 24005403402","2020","402","",
"24","Maryland","24005403500","Baltimore County, MD - 24005403500","2020","186","",
"24","Maryland","24005403601","Baltimore County, MD - 24005403601","2020","399","",
"24","Maryland","24005403602","Baltimore County, MD - 24005403602","2020","433","",
"24","Maryland","24005403702","Baltimore County, MD - 24005403702","2020","96","",
"24","Maryland","24005403703","Baltimore County, MD - 24005403703","2020","149","",
"24","Maryland","24005403704","Baltimore County, MD - 24005403704","2020","180","",
"24","Maryland","24005403801","Baltimore County, MD - 24005403801","2020","44","",
"24","Maryland","24005403802","Baltimore County, MD - 24005403802","2020","39","",
"24","Maryland","24005403803","Baltimore County, MD - 24005403803","2020","333","",
"24","Maryland","24005404101","Baltimore County, MD - 24005404101","2020","233","",
"24","Maryland","24005404102","Baltimore County, MD - 24005404102","2020","524","",
"24","Maryland","24005404201","Baltimore County, MD - 24005404201","2020","547","",
"24","Maryland","24005404202","Baltimore County, MD - 24005404202","2020","957","",
"24","Maryland","24005404402","Baltimore County, MD - 24005404402","2020","179","",
"24","Maryland","24005404403","Baltimore County, MD - 24005404403","2020","579","",
"24","Maryland","24005404404","Baltimore County, MD - 24005404404","2020","217","",
"24","Maryland","24005404501","Baltimore County, MD - 24005404501","2020","972","",
"24","Maryland","24005404502","Baltimore County, MD - 24005404502","2020","268","",
"24","Maryland","24005404600","Baltimore County, MD - 24005404600","2020","35","",
"24","Maryland","24005404800","Baltimore County, MD - 24005404800","2020","30","",
"24","Maryland","24005404900","Baltimore County, MD - 24005404900","2020","225","",
"24","Maryland","24005405000","Baltimore County, MD - 24005405000","2020","44","",
"24","Maryland","24005406000","Baltimore County, MD - 24005406000","2020","41","",
"24","Maryland","24005407001","Baltimore County, MD - 24005407001","2020","18","",
"24","Maryland","24005407002","Baltimore County, MD - 24005407002","2020","18","",
"24","Maryland","24005408100","Baltimore County, MD - 24005408100","2020","96","",
"24","Maryland","24005408200","Baltimore County, MD - 24005408200","2020","6","",
"24","Maryland","24005408302","Baltimore County, MD - 24005408302","2020","158","",
"24","Maryland","24005408303","Baltimore County, MD - 24005408303","2020","49","",
"24","Maryland","24005408304","Baltimore County, MD - 24005408304","2020","135","",
"24","Maryland","24005408400","Baltimore County, MD - 24005408400","2020","35","",
"24","Maryland","24005408502","Baltimore County, MD - 24005408502","2020","176","",
"24","Maryland","24005408503","Baltimore County, MD - 24005408503","2020","558","",
"24","Maryland","24005408505","Baltimore County, MD - 24005408505","2020","237","",
"24","Maryland","24005408506","Baltimore County, MD - 24005408506","2020","477","",
"24","Maryland","24005408507","Baltimore County, MD - 24005408507","2020","722","",
"24","Maryland","24005408601","Baltimore County, MD - 24005408601","2020","177","",
"24","Maryland","24005408602","Baltimore County, MD - 24005408602","2020","44","",
"24","Maryland","24005408702","Baltimore County, MD - 24005408702","2020","61","",
"24","Maryland","24005408703","Baltimore County, MD - 24005408703","2020","302","",
"24","Maryland","24005408704","Baltimore County, MD - 24005408704","2020","401","",
"24","Maryland","24005408800","Baltimore County, MD - 24005408800","2020","104","",
"24","Maryland","24005408900","Baltimore County, MD - 24005408900","2020","0","",
"24","Maryland","24005410100","Baltimore County, MD - 24005410100","2020","44","",
"24","Maryland","24005410200","Baltimore County, MD - 24005410200","2020","82","",
"24","Maryland","24005411101","Baltimore County, MD - 24005411101","2020","13","",
"24","Maryland","24005411102","Baltimore County, MD - 24005411102","2020","1","",
"24","Maryland","24005411201","Baltimore County, MD - 24005411201","2020","10","",
"24","Maryland","24005411202","Baltimore County, MD - 24005411202","2020","43","",
"24","Maryland","24005411302","Baltimore County, MD - 24005411302","2020","216","",
"24","Maryland","24005411303","Baltimore County, MD - 24005411303","2020","179","",
"24","Maryland","24005411306","Baltimore County, MD - 24005411306","2020","289","",
"24","Maryland","24005411307","Baltimore County, MD - 24005411307","2020","216","",
"24","Maryland","24005411308","Baltimore County, MD - 24005411308","2020","115","",
"24","Maryland","24005411309","Baltimore County, MD - 24005411309","2020","214","",
"24","Maryland","24005411404","Baltimore County, MD - 24005411404","2020","242","",
"24","Maryland","24005411406","Baltimore County, MD - 24005411406","2020","182","",
"24","Maryland","24005411408","Baltimore County, MD - 24005411408","2020","152","",
"24","Maryland","24005411409","Baltimore County, MD - 24005411409","2020","178","",
"24","Maryland","24005411410","Baltimore County, MD - 24005411410","2020","561","",
"24","Maryland","24005411411","Baltimore County, MD - 24005411411","2020","282","",
"24","Maryland","24005411412","Baltimore County, MD - 24005411412","2020","296","",
"24","Maryland","24005411413","Baltimore County, MD - 24005411413","2020","0","",
"24","Maryland","24005420100","Baltimore County, MD - 24005420100","2020","78","",
"24","Maryland","24005420200","Baltimore County, MD - 24005420200","2020","146","",
"24","Maryland","24005420301","Baltimore County, MD - 24005420301","2020","84","",
"24","Maryland","24005420302","Baltimore County, MD - 24005420302","2020","105","",
"24","Maryland","24005420303","Baltimore County, MD - 24005420303","2020","5","",
"24","Maryland","24005420401","Baltimore County, MD - 24005420401","2020","223","",
"24","Maryland","24005420402","Baltimore County, MD - 24005420402","2020","52","",
"24","Maryland","24005420500","Baltimore County, MD - 24005420500","2020","585","",
"24","Maryland","24005420600","Baltimore County, MD - 24005420600","2020","467","",
"24","Maryland","24005420701","Baltimore County, MD - 24005420701","2020","190","",
"24","Maryland","24005420702","Baltimore County, MD - 24005420702","2020","265","",
"24","Maryland","24005420800","Baltimore County, MD - 24005420800","2020","97","",
"24","Maryland","24005420900","Baltimore County, MD - 24005420900","2020","190","",
"24","Maryland","24005421000","Baltimore County, MD - 24005421000","2020","82","",
"24","Maryland","24005421101","Baltimore County, MD - 24005421101","2020","0","",
"24","Maryland","24005421102","Baltimore County, MD - 24005421102","2020","46","",
"24","Maryland","24005421200","Baltimore County, MD - 24005421200","2020","90","",
"24","Maryland","24005430101","Baltimore County, MD - 24005430101","2020","851","",
"24","Maryland","24005430104","Baltimore County, MD - 24005430104","2020","135","",
"24","Maryland","24005430200","Baltimore County, MD - 24005430200","2020","84","",
"24","Maryland","24005430300","Baltimore County, MD - 24005430300","2020","363","",
"24","Maryland","24005430400","Baltimore County, MD - 24005430400","2020","109","",
"24","Maryland","24005430600","Baltimore County, MD - 24005430600","2020","25","",
"24","Maryland","24005430700","Baltimore County, MD - 24005430700","2020","149","",
"24","Maryland","24005430800","Baltimore County, MD - 24005430800","2020","69","",
"24","Maryland","24005430900","Baltimore County, MD - 24005430900","2020","1,016","",
"24","Maryland","24005440100","Baltimore County, MD - 24005440100","2020","60","",
"24","Maryland","24005440200","Baltimore County, MD - 24005440200","2020","42","",
"24","Maryland","24005440300","Baltimore County, MD - 24005440300","2020","72","",
"24","Maryland","24005440400","Baltimore County, MD - 24005440400","2020","524","",
"24","Maryland","24005440500","Baltimore County, MD - 24005440500","2020","60","",
"24","Maryland","24005440600","Baltimore County, MD - 24005440600","2020","64","",
"24","Maryland","24005440701","Baltimore County, MD - 24005440701","2020","1,167","",
"24","Maryland","24005440702","Baltimore County, MD - 24005440702","2020","351","",
"24","Maryland","24005440800","Baltimore County, MD - 24005440800","2020","186","",
"24","Maryland","24005440900","Baltimore County, MD - 24005440900","2020","200","",
"24","Maryland","24005441000","Baltimore County, MD - 24005441000","2020","113","",
"24","Maryland","24005441101","Baltimore County, MD - 24005441101","2020","88","",
"24","Maryland","24005441102","Baltimore County, MD - 24005441102","2020","364","",
"24","Maryland","24005450100","Baltimore County, MD - 24005450100","2020","146","",
"24","Maryland","24005450200","Baltimore County, MD - 24005450200","2020","18","",
"24","Maryland","24005450300","Baltimore County, MD - 24005450300","2020","70","",
"24","Maryland","24005450400","Baltimore County, MD - 24005450400","2020","10","",
"24","Maryland","24005450501","Baltimore County, MD - 24005450501","2020","15","",
"24","Maryland","24005450503","Baltimore County, MD - 24005450503","2020","160","",
"24","Maryland","24005450504","Baltimore County, MD - 24005450504","2020","260","",
"24","Maryland","24005450800","Baltimore County, MD - 24005450800","2020","161","",
"24","Maryland","24005450900","Baltimore County, MD - 24005450900","2020","52","",
"24","Maryland","24005451000","Baltimore County, MD - 24005451000","2020","6","",
"24","Maryland","24005451100","Baltimore County, MD - 24005451100","2020","84","",
"24","Maryland","24005451200","Baltimore County, MD - 24005451200","2020","101","",
"24","Maryland","24005451300","Baltimore County, MD - 24005451300","2020","231","",
"24","Maryland","24005451401","Baltimore County, MD - 24005451401","2020","319","",
"24","Maryland","24005451402","Baltimore County, MD - 24005451402","2020","665","",
"24","Maryland","24005451500","Baltimore County, MD - 24005451500","2020","210","",
"24","Maryland","24005451600","Baltimore County, MD - 24005451600","2020","58","",
"24","Maryland","24005451701","Baltimore County, MD - 24005451701","2020","55","",
"24","Maryland","24005451702","Baltimore County, MD - 24005451702","2020","34","",
"24","Maryland","24005451801","Baltimore County, MD - 24005451801","2020","79","",
"24","Maryland","24005451802","Baltimore County, MD - 24005451802","2020","93","",
"24","Maryland","24005451803","Baltimore County, MD - 24005451803","2020","118","",
"24","Maryland","24005451900","Baltimore County, MD - 24005451900","2020","14","",
"24","Maryland","24005452000","Baltimore County, MD - 24005452000","2020","49","",
"24","Maryland","24005452100","Baltimore County, MD - 24005452100","2020","56","",
"24","Maryland","24005452300","Baltimore County, MD - 24005452300","2020","217","",
"24","Maryland","24005452400","Baltimore County, MD - 24005452400","2020","137","",
"24","Maryland","24005452500","Baltimore County, MD - 24005452500","2020","84","",
"24","Maryland","24005490100","Baltimore County, MD - 24005490100","2020","75","",
"24","Maryland","24005490200","Baltimore County, MD - 24005490200","2020","218","",
"24","Maryland","24005490302","Baltimore County, MD - 24005490302","2020","78","",
"24","Maryland","24005490303","Baltimore County, MD - 24005490303","2020","143","",
"24","Maryland","24005490304","Baltimore County, MD - 24005490304","2020","102","",
"24","Maryland","24005490400","Baltimore County, MD - 24005490400","2020","27","",
"24","Maryland","24005490500","Baltimore County, MD - 24005490500","2020","17","",
"24","Maryland","24005490601","Baltimore County, MD - 24005490601","2020","17","",
"24","Maryland","24005490602","Baltimore County, MD - 24005490602","2020","217","",
"24","Maryland","24005490603","Baltimore County, MD - 24005490603","2020","161","",
"24","Maryland","24005490605","Baltimore County, MD - 24005490605","2020","50","",
"24","Maryland","24005490701","Baltimore County, MD - 24005490701","2020","17","",
"24","Maryland","24005490703","Baltimore County, MD - 24005490703","2020","37","",
"24","Maryland","24005490800","Baltimore County, MD - 24005490800","2020","69","",
"24","Maryland","24005490900","Baltimore County, MD - 24005490900","2020","134","",
"24","Maryland","24005491000","Baltimore County, MD - 24005491000","2020","10","",
"24","Maryland","24005491100","Baltimore County, MD - 24005491100","2020","298","",
"24","Maryland","24005491201","Baltimore County, MD - 24005491201","2020","59","",
"24","Maryland","24005491202","Baltimore County, MD - 24005491202","2020","166","",
"24","Maryland","24005491300","Baltimore County, MD - 24005491300","2020","277","",
"24","Maryland","24005491401","Baltimore County, MD - 24005491401","2020","158","",
"24","Maryland","24005491402","Baltimore County, MD - 24005491402","2020","94","",
"24","Maryland","24005491500","Baltimore County, MD - 24005491500","2020","137","",
"24","Maryland","24005491600","Baltimore County, MD - 24005491600","2020","158","",
"24","Maryland","24005491701","Baltimore County, MD - 24005491701","2020","141","",
"24","Maryland","24005491900","Baltimore County, MD - 24005491900","2020","105","",
"24","Maryland","24005492001","Baltimore County, MD - 24005492001","2020","42","",
"24","Maryland","24005492002","Baltimore County, MD - 24005492002","2020","37","",
"24","Maryland","24005492101","Baltimore County, MD - 24005492101","2020","14","",
"24","Maryland","24005492102","Baltimore County, MD - 24005492102","2020","47","",
"24","Maryland","24005492200","Baltimore County, MD - 24005492200","2020","152","",
"24","Maryland","24005492300","Baltimore County, MD - 24005492300","2020","62","",
"24","Maryland","24005492401","Baltimore County, MD - 24005492401","2020","126","",
"24","Maryland","24005492402","Baltimore County, MD - 24005492402","2020","198","",
"24","Maryland","24005492500","Baltimore County, MD - 24005492500","2020","47","",
"24","Maryland","24005492600","Baltimore County, MD - 24005492600","2020","115","",
"24","Maryland","24005492700","Baltimore County, MD - 24005492700","2020","11","",
"24","Maryland","24005980100","Baltimore County, MD - 24005980100","2020","Zero Population","",
"24","Maryland","24005980200","Baltimore County, MD - 24005980200","2020","Zero Population","",
"24","Maryland","24510010100","Baltimore city, MD - 24510010100","2020","16","",
"24","Maryland","24510010200","Baltimore city, MD - 24510010200","2020","51","",
"24","Maryland","24510010300","Baltimore city, MD - 24510010300","2020","157","",
"24","Maryland","24510010400","Baltimore city, MD - 24510010400","2020","120","",
"24","Maryland","24510010500","Baltimore city, MD - 24510010500","2020","130","",
"24","Maryland","24510020100","Baltimore city, MD - 24510020100","2020","63","",
"24","Maryland","24510020200","Baltimore city, MD - 24510020200","2020","123","",
"24","Maryland","24510020300","Baltimore city, MD - 24510020300","2020","103","",
